example,IndividualLabels,CategorizedLabels
"The role of the 70,000 mainly Kurdish village guards who fight Kurdistan Workers Party ( PKK ) guerrillas in the southeast has been questioned recently after media allegations that many of them are involved in common crime .","[{""Description"": ""Miscellaneous"", ""Text"": ""Kurdish""}, {""Description"": ""Organization"", ""Text"": ""Kurdistan Workers Party""}, {""Description"": ""Organization"", ""Text"": ""PKK""}]","{""Location"": [], ""Organization"": [""Kurdistan Workers Party"", ""PKK""], ""Person"": [], ""Miscellaneous"": [""Kurdish""]}"
The head of the region 's main pro-state militia is at the centre of a security scandal that has shaken the government .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"More than 21,000 people have been killed in the 12-year-old conflict between Turkish security forces and the PKK , fighting for Kurdish autonomy or independence .","[{""Description"": ""Miscellaneous"", ""Text"": ""Turkish""}, {""Description"": ""Organization"", ""Text"": ""PKK""}, {""Description"": ""Miscellaneous"", ""Text"": ""Kurdish""}]","{""Location"": [], ""Organization"": [""PKK""], ""Person"": [], ""Miscellaneous"": [""Turkish"", ""Kurdish""]}"
Texas / w Okla fed cattle roundup - USDA .,"[{""Description"": ""Location"", ""Text"": ""Texas""}, {""Description"": ""Location"", ""Text"": ""Okla""}, {""Description"": ""Organization"", ""Text"": ""USDA""}]","{""Location"": [""Texas"", ""Okla""], ""Organization"": [""USDA""], ""Person"": [], ""Miscellaneous"": []}"
AMARILLO 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""AMARILLO""}]","{""Location"": [""AMARILLO""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Trade very slow in the Panhandle area Thursday .,"[{""Description"": ""Location"", ""Text"": ""Panhandle""}]","{""Location"": [""Panhandle""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Slaughter steers and heifers not well tested .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Feedlots reporting light inquiry from buyers .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
- USDA,"[{""Description"": ""Organization"", ""Text"": ""USDA""}]","{""Location"": [], ""Organization"": [""USDA""], ""Person"": [], ""Miscellaneous"": []}"
"Thursday 200 Week Ago Holiday Year Ago 10,900",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Wk to Date 69,100 Week Ago 58,100 Year Ago 30,800",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Sales reported on 200 head steers ; 69,100 head confirmed for week to date which includes 14,000 formulated and 3,400 contracted cattle to be shipped this week .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Slaughter Steers : Pen Select and Choice 2-3 , 1150 lbs 67.00 .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Pen Select , few choice 2-3 1150 lbs 66.00 .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Kansas feedlot cattle roundup - USDA .,"[{""Description"": ""Location"", ""Text"": ""Kansas""}, {""Description"": ""Organization"", ""Text"": ""USDA""}]","{""Location"": [""Kansas""], ""Organization"": [""USDA""], ""Person"": [], ""Miscellaneous"": []}"
DODGE CITY 1996-12-06,"[{""Description"": ""Location"", ""Text"": ""DODGE CITY""}]","{""Location"": [""DODGE CITY""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Trade slow .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Not enough slaughter steer or heifer sales confirmed for an adequate market test .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
- USDA,"[{""Description"": ""Organization"", ""Text"": ""USDA""}]","{""Location"": [], ""Organization"": [""USDA""], ""Person"": [], ""Miscellaneous"": []}"
"Thursday 600 week ago holiday year ago 14,200",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"week to date 89,300 week ago 71,000 year ago 47,200",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Inquiry good , demand light .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Sales confirmed on 500 slaughter steers and 100 slaughter heifers Thursday .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"For the week to date 89,300 head confirmed including 30,600 head of contracted or formulated cattle .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Steers : Select and Choice 2-3 , 1200 lbs 67.00 .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Heifers : Select and Choice 2-3 , 1150 lbs 67.00 .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
Delphis Hanover weekly municipal bond yields .,"[{""Description"": ""Organization"", ""Text"": ""Delphis Hanover""}]","{""Location"": [], ""Organization"": [""Delphis Hanover""], ""Person"": [], ""Miscellaneous"": []}"
Delphis Hanover weekly muni bond yields calculated Dec 5,"[{""Description"": ""Organization"", ""Text"": ""Delphis Hanover""}]","{""Location"": [], ""Organization"": [""Delphis Hanover""], ""Person"": [], ""Miscellaneous"": []}"
Aaa Aa A Baa,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
1997 3.50 3.60* 3.70 3.75 4.00 4.00 4.30 4.35,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2001 4.20 4.20 4.35 4.40 4.65 4.65 5.00 5.00,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2006 4.70 4.70 4.85 4.85 5.15 5.15 5.50 5.50,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2011 5.15 5.15 5.30 5.30 5.60 5.60 5.90 5.90,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2016 5.35 5.30 5.50 5.45 5.80 5.75 6.10 6.05,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2021 5.45 5.40 5.60 5.55 5.90 5.85 6.20 6.15,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
2026 5.50 5.45 5.65 5.60 5.95 5.90 6.25 6.20,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
*from previous calculation on Nov 27,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"-- U.S. Municipal Desk , 212-859-1650","[{""Description"": ""Organization"", ""Text"": ""U.S. Municipal Desk""}]","{""Location"": [], ""Organization"": [""U.S. Municipal Desk""], ""Person"": [], ""Miscellaneous"": []}"
ACCESS energy futures prices add to daytime gains .,"[{""Description"": ""Miscellaneous"", ""Text"": ""ACCESS""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""ACCESS""]}"
LOS ANGELES 1996-12-05,"[{""Description"": ""Organization"", ""Text"": ""LOS ANGELES""}]","{""Location"": [], ""Organization"": [""LOS ANGELES""], ""Person"": [], ""Miscellaneous"": []}"
"U.S. energy futures added to floor session gains in light NYMEX ACCESS trade Thursday , as forecasts for colder temperatures in distillate-hungry Northeastern markets raised supply concerns .","[{""Description"": ""Location"", ""Text"": ""U.S.""}, {""Description"": ""Miscellaneous"", ""Text"": ""NYMEX ACCESS""}]","{""Location"": [""U.S.""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""NYMEX ACCESS""]}"
" The cold weather forecasts are helping right now ,  a trader said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"Earlier , NYMEX crude ended daytime trade 78 cents higher at $ 25.58 a barrel , following breakthroughs of key technical levels and reports of tighter supplies .","[{""Description"": ""Organization"", ""Text"": ""NYMEX""}]","{""Location"": [], ""Organization"": [""NYMEX""], ""Person"": [], ""Miscellaneous"": []}"
Front-month heating oil firmed 0.09 cents a gallon to 75.20 cents as roughly 100 lots changed hands within the first few hours of ACCESS .,"[{""Description"": ""Miscellaneous"", ""Text"": ""ACCESS""}]","{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""ACCESS""]}"
"About 112 lots were exchanged overall , traders said .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
NYMEX gasoline for January delivery climbed 0.12 cents a gallon to 69.80 cents as a light 33 lots traded in the nearby month and 35 moved overall .,"[{""Description"": ""Organization"", ""Text"": ""NYMEX""}]","{""Location"": [], ""Organization"": [""NYMEX""], ""Person"": [], ""Miscellaneous"": []}"
"January crude was barely changed from its settlement , edging up one cent to $ 25.66 a barrel .",[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
About 350 lots were traded for January and 870 in all months .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"-- David Brinkerhoff , Los Angeles bureau +1 213 380 2014","[{""Description"": ""Person"", ""Text"": ""David Brinkerhoff""}, {""Description"": ""Location"", ""Text"": ""Los Angeles""}]","{""Location"": [""Los Angeles""], ""Organization"": [], ""Person"": [""David Brinkerhoff""], ""Miscellaneous"": []}"
U.S. blasts release of convicted bomber .,"[{""Description"": ""Location"", ""Text"": ""U.S.""}]","{""Location"": [""U.S.""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
WASHINGTON 1996-12-05,"[{""Description"": ""Location"", ""Text"": ""WASHINGTON""}]","{""Location"": [""WASHINGTON""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"The United States Thursday blasted the release from a Greek prison of a Palestinian guerrilla convicted of bombing an airliner and killing a teenager in 1982 , saying the move  does not make sense . ","[{""Description"": ""Location"", ""Text"": ""United States""}, {""Description"": ""Miscellaneous"", ""Text"": ""Greek""}, {""Description"": ""Miscellaneous"", ""Text"": ""Palestinian""}]","{""Location"": [""United States""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": [""Greek"", ""Palestinian""]}"
 All of us who have been victimised by terrorists ... need to stand together against terrorists .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"We ca n't let terrorists out of jail when they are a danger to civilians all around the world ,  State Department spokesman Nicholas Burns said . '","[{""Description"": ""Organization"", ""Text"": ""State Department""}, {""Description"": ""Person"", ""Text"": ""Nicholas Burns""}]","{""Location"": [], ""Organization"": [""State Department""], ""Person"": [""Nicholas Burns""], ""Miscellaneous"": []}"
Mohammed Rashid  is a terrorist who deserves to be behind bars .,"[{""Description"": ""Person"", ""Text"": ""Mohammed Rashid""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Mohammed Rashid""], ""Miscellaneous"": []}"
It is inexplicable to us why he would have been allowed to leave Greece before serving his just sentence ... This is an incomprehensible move .,"[{""Description"": ""Location"", ""Text"": ""Greece""}]","{""Location"": [""Greece""], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"It does not make sense ,  Burns told a news briefing .","[{""Description"": ""Person"", ""Text"": ""Burns""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Burns""], ""Miscellaneous"": []}"
He spoke after Rashid left Greece Thursday on being freed from prison early for good behaviour after serving 8-1/2 years .,"[{""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Location"", ""Text"": ""Greece""}]","{""Location"": [""Greece""], ""Organization"": [], ""Person"": [""Rashid""], ""Miscellaneous"": []}"
"The Clinton administration 's strong views on this subject have been conveyed to the Greek government , Burns said .","[{""Description"": ""Person"", ""Text"": ""Clinton""}, {""Description"": ""Miscellaneous"", ""Text"": ""Greek""}, {""Description"": ""Person"", ""Text"": ""Burns""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Clinton"", ""Burns""], ""Miscellaneous"": [""Greek""]}"
Mahammad Rashid was whisked from Korydallos maximum security prison just outside Athens to the airport where he boarded a regular Olympic Airways flight to Cairo where he would transit to Tunis and the former Palestine Liberation Organisation headquarters .,"[{""Description"": ""Person"", ""Text"": ""Mahammad Rashid""}, {""Description"": ""Location"", ""Text"": ""Korydallos""}, {""Description"": ""Location"", ""Text"": ""Athens""}, {""Description"": ""Organization"", ""Text"": ""Olympic Airways""}, {""Description"": ""Location"", ""Text"": ""Cairo""}, {""Description"": ""Location"", ""Text"": ""Tunis""}, {""Description"": ""Organization"", ""Text"": ""Palestine Liberation Organisation""}]","{""Location"": [""Korydallos"", ""Athens"", ""Cairo"", ""Tunis""], ""Organization"": [""Olympic Airways"", ""Palestine Liberation Organisation""], ""Person"": [""Mahammad Rashid""], ""Miscellaneous"": []}"
"Rashid , 46 , was sentenced to 18 years in prison by a Greek court in 1992 after being convicted of premeditated murder in the mid-air bombing of a Pan American airliner in 1982 .","[{""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Miscellaneous"", ""Text"": ""Greek""}, {""Description"": ""Miscellaneous"", ""Text"": ""Pan American""}]","{""Location"": [], ""Organization"": [], ""Person"": [""Rashid""], ""Miscellaneous"": [""Greek"", ""Pan American""]}"
His sentence had been reduced to 15 years in 1993 .,[],"{""Location"": [], ""Organization"": [], ""Person"": [], ""Miscellaneous"": []}"
"A parole court ruled recently that Rashid could be freed after serving 8-1/2 years , with time in pre-trial detention counted towards his term , but said he must be expelled immediately from Greece .","[{""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Location"", ""Text"": ""Greece""}]","{""Location"": [""Greece""], ""Organization"": [], ""Person"": [""Rashid""], ""Miscellaneous"": []}"
The United States accuses Rashid of belonging to the May 15 Palestinian guerrilla group and being an accomplished student of master Palestinian bombmaker Abu Ibrahim .,"[{""Description"": ""Location"", ""Text"": ""United States""}, {""Description"": ""Person"", ""Text"": ""Rashid""}, {""Description"": ""Miscellaneous"", ""Text"": ""Palestinian""}, {""Description"": ""Miscellaneous"", ""Text"": ""Palestinian""}, {""Description"": ""Person"", ""Text"": ""Abu Ibrahim""}]","{""Location"": [""United States""], ""Organization"": [], ""Person"": [""Rashid"", ""Abu Ibrahim""], ""Miscellaneous"": [""Palestinian"", ""Palestinian""]}"
