input,label
"Product Name: Q - QUEEN OF THE MEADOW FAIRY sustainable wood card, magnet Description: Queen of the Meadow Fairy', original illustration by Cicely Mary Barker ©The Flower Fairies™.
Available as sustainable wood all occasions cards and sustainable wood magnets.

- Sustainable WOODEN POSTCARDS to send and to keep. 
Postcard back. Write with a ballpoint pen and stamp at domestic rate. Send anywhere in the world. Each card measures 15cm/5.9"" by 10cm/3.9"" and is 4mm/0.2"" thick.

- Sustainable WOODEN MAGNETS. 
Magnetic back. Each magnet measures 10cm/3.9"" by 7.5cm/6"" and is 4mm/0.2"" thick.

Eco-friendly packaging, cards and magnets are simply banded and boxed for transport. Ready to display, no superfluous packaging.

Sustainable wood printed in England.
We plant trees with Ecologi.",plants & floral
"Product Name: Ring planner - staff - vintage brown Description: MoinDori ring planner staff

This ring planner was born from a cooperation with Claudia from Pen&Pages.
For all MOINDORI fans who have always waited for ring planners. We have finally taken the step and included ring planners in our range for you. Currently available in staff, A5 and 4 vintage leather sizes. 

Due to the shape, we are not able to print all silkscreen motifs. If you would like a screen printed design on your ring planner, please send us a quick email to design@moin-art.com and we'll see if it fits. 
Features:

Ring mechanism with rocker arm.
Filling height: 21 mm
Two inside pockets
2 x card slot
With press stud closure. 
Rubber penloop

Package included:

Handmade leather ring planner 
without inserts

DELIVERY TIME 7-14 days",
"Product Name: My Pocket Planner - Sage Description: Between a functional agenda and a mini format, your heart is swaying and you're right!

From the corner of your desk to your handbag, the Plans Pocket (A6 format) was designed for you who want it all at once.

The result is a complete tool to keep at hand to simplify your weekly organization. Getting motivated has never been so easy!

Release your mental load and save valuable time by organizing your daily Warrior routine.

Follow and achieve all your goals using the many tools at your disposal in this notebook (notepad, To Do List, etc.).

Whether you are a student or in the world of work, our pocket weekly diaries will adapt to your situation.

This notebook has something to delight the most demanding of you.

2 versions available:
. September 2023 > August 2024. 
. Undated 

Undated version
For an organization that is more flexible than ever, the undated agenda starts when you decide!

Deliveries within 2 to 4 days.",Plants & Floral
"Product Name: Backroads Collection Tee - Louisiana Description: To avoid the hustle and bustle of main highways, we Southerners enjoy taking the back roads. So, we designed The Backroads Tee Collection to illustrate the unique symbols and history of each state where some of our favorite country routes are located. Established in 1812 as the 18th state to join the US, the vast areas of swampy marshland make this region a great spot for fishing and hunting, and also a great home for the state bird, the Brown Pelican. We illustrated this beautiful animal on a rustic license plate along with a map of the great state of Louisiana, so you can sport your love for Louisiana in style.

 * 100% Cotton 
 * Garment Washed 
 * Full Color 
 * Custom State License Design on Back 
 * Mallard Silhouette Logo on Front 
 * Traditional Fit 
 * Pocket Tee 
Also available in long sleeve and youth sizes",geography & hometown
"Product Name: Magnet - Bishop Scene 02 Description: Magnets Style Options:
Magnets are available in five styles.

1/8"" Clear Acrylic Magnets:
These magnets feature 1/8” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Clear Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our durable ultra vivid process and are given a strong, 1” ceramic magnet applied to the back.

1/4"" Recycled Wood Magnets:
These magnets feature 1/4” recycled wood. Each one is printed with our Ultra Vivid printing process and given a strong, 1” ceramic magnet applied to the back

5/16"" Bamboo Magnets:
These bamboo wood magnets feature 5/16” thick bamboo. Each one is printed with our Ultra Vivid print process and given a strong, 1” ceramic magnet applied to the back

1/4"" Full Color Acrylic Magnets:
These magnets feature 1/4” thick acrylic. Each one is printed with our full color digital process and given a strong, 25 mil magnetic backing.",Geography & Hometown
"Product Name: Greeting Card - Thinking of you Description: This folded card and envelope are the perfect size for a short, encouraging note (A2 - approximately 4.25"" by 5.5""). Choose between four envelope colors. Each card is packaged in a clear plastic sleeve.",
"Product Name: Patch/ironing board - Disney PJ Masks Pyjama Heroes LOGOS Description: Refine or repair your textiles, such as jeans, jackets, trousers, T-shirts, sweatshirts, scarves, backpacks, towels, bags, hats, school bags, pillows, blankets, vests, etc. - Make monotonous clothing an eye-catcher.",Pop Culture
"Product Name: Paradise Miss You Card Description: Muted tropical leaves adorn our folded Paradise Miss You card.  Each card has a beautiful pattern that weaves from front on to the back of the card while the interior is blank.  Reach out to someone dear with our cards that inspire connection.

Cards come with corresponding soft cotton envelopes in Mist. Choose a single card or set of 4.

4.25"" x 5.5"" / A2 sized card + envelope",plants & floral
"Product Name: Starter Gift Box Limited Edition Description: Each Limited Edition book features art by one of our artist partners, on the cover of our original 6-month Everyday Mother tracker book. 

The boutique packaging of The Everyday Mother Starter Kit gift includes The Everyday Mother, ribbon page holder in color of your choice, a black-ink pen, vellum wrap, and personalized handwritten gift note, all nestled in a boutique box and sealed with a gold foil label.

 

DETAILS

 * Boutique box in matte white 
 * Vibes Limited Edition Everyday Mother 6 Month Tracker 
 * Favorite Pen 
 * Personalized handwritten gift note in gold ink 
 * Book, pen, and note wrapped in vellum inside boutique box 
 * Vellum wrap and gold foil sticker on outside of box (calligraphy not included) 
 *please note, calligraphy name NOT included on outside label*
",Art & Music
"Product Name: Smiley Face Lavender Description: The May Designs Classic Notebook is the ultimate paper companion to help you stay organized. With soft covers and saddle-stitched binding, this flexible 5x8 notebook can have both a personalized cover and inside pages from basic lines and bullet journal dot grid, to weekly and monthly agendas.",
