question,answer,options
What is the most important function of enzymes in animals?,help digest food,"['help digest food', 'carry oxygen', 'excrete waste', 'transport messages']"
"After coming apart from the crystal, the individual ions are then surrounded by solvent particles in a process called what?",solvation,"['osmosis', 'ionization', 'solvation', 'hydrolysis']"
A battery is a multiple connection of what kind of cells?,voltaic cells,"['voltaic cells', 'localweather cells', 'organic cells', 'cabri cells']"
What is needed for a person to be affected by an autosomal dominant disorder?,one mutated allele,"['one mutated allele', 'one less chromosome', 'extra alleles', 'one isolated allele']"
The rocks athe mid-ocean ridge are nearly free of what?,sediment,"['scratches', 'minerals', 'metals', 'sediment']"
What do we call a simple machine that consists of a rope and grooved wheel?,pulley,"['lever', 'pedal', 'axle', 'pulley']"
What do you call health-promoting molecules that inhibit the oxidation of other molecules?,antioxidants,"['nutrients', 'antioxidants', 'neurotransmitters', 'hormones']"
"In a correctly balanced equation, all coefficients must be what kind of numbers?",whole,"['fractional', 'whole', 'negative', 'prime']"
"Highly reactive nonmetals, which only accept electrons and do not give them up, make poor what?",electricity conductors,"['electricity conductors', 'insulators', 'electromagnets', 'alloys']"
What is the passing of traits from parents to offspring called?,heredity,"['variability', 'cell division', 'heredity', 'mutation']"
What is the most important source of electromagnetic waves on earth?,the sun,"['clouds', 'the ocean', 'the moon', 'the sun']"
Which part of the atmosphere do greenhouse gasses trap heat in?,troposphere,"['stratosphere', 'troposphere', 'lithosphere', 'thermosphere']"
How are the fetuses of eutherian mammals connected to their mothers during gestation?,complex placenta,"['altered placenta', 'visual placenta', 'complex placenta', 'Movement Placenta']"
Vivipary refers to the development and nourishment of a what?,embryo,"['embryo', 'seed', 'egg', 'nucleus']"
"What are the flattened, disk-shaped cells in blood that carry oxygen?",red blood cells,"['white blood cells', 'platlets', 'red blood cells', 'plasma']"
What is matter in the universe that does not emit light called?,dark matter,"['cold matter', 'black matter', 'dark matter', 'hidden matter']"
"Without particles, water vapor could not do what?",condense,"['condense', 'dissipate', 'dilute', 'evaporate']"
"Sounds are produced when muscles in what organ are tensed, stretching the cords so they vibrate?",larnyx,"['larnyx', 'thorax', 'diaphragm', 'throat']"
What is most energy that is lost to the environment lost as?,heat,"['heat', 'gravity', 'vapor', 'precipitation']"
What is the resultant waste product of photosynthesis?,oxygen,"['argon', 'carbon', 'oxygen', 'sulfur']"
What is the term for a measure of both speed and direction?,velocity,"['velocity', 'acceleration', 'momentum', 'intensity']"
What is a body of freshwater that flows downhill in a channel?,a stream,"['a creek', 'a stream', 'a river', 'an eddy']"
What form of reproduction creates offspring that are genetically identical to the parent?,asexual,"['microscopic', 'primitive', 'sexual', 'asexual']"
"Asteroids, comets, and planets move around the sun in curved paths called what?",orbits,"['orbits', 'ellipticals', 'satellites', 'curves']"
The primary motor cortex is located in which lobe of the brain?,frontal,"['frontal', 'Occipital', 'Temporal lobe', 'Parietal']"
The beginning of what season experiences the shortest period of daylight hours?,winter,"['winter', 'summer', 'autumn', 'spring']"
The sex of developing crocodilians is determined by what during incubation?,the temperature of the eggs,"['the color of the eggs', 'the location of the eggs', 'the size of the eggs', 'the temperature of the eggs']"
What are the two main types of star clusters?,open and globular,"['open and globular', 'closed and spherical', 'open and elliptical', 'open and supergiant']"
Many species of flowering plants have coevolved with specific what?,pollinators,"['predators', 'spores', 'climates', 'pollinators']"
Do most waves strike the shore head on or at an angle?,at an angle,"['side on', 'head on', 'at an angle', 'at a distance']"
"What ingredient has been used in brewing, winemaking and baking for thousands of years?",yeast,"['yeast', 'fruit', 'flour', 'oils']"
"The tibia is the larger, weight-bearing bone located on the medial side of the leg. the fibula is the slender bone of the lateral side of the leg and does not do what?",bear weight,"['resist weight', 'bear weight', 'drive weight', 'support weight']"
What are reptiles unable to absorb through their skin because of scales?,oxygen,"['carbon', 'oxygen', 'water', 'food']"
All types of cells are enclosed by what?,membrane,"['substrate', 'stoma', 'cell wall', 'membrane']"
What causes symptoms associated with sickle-cell disease?,pleiotropic effects,"['genetic drift', 'spontaneous mutation', 'pleiotropic effects', 'transgene effects']"
"Candida and trichophyton are examples of disease-causing types of what organisms, which become parasitic?",fungi,"['viruses', 'bacteria', 'yeast', 'fungi']"
What type of cells detect stimuli?,sensory nerve cells,"['sensory nerve cells', 'grid nerve cells', 'muscle cells', 'expressive nerve cells']"
What 3 things do animals need to live and survive?,"air, water, and food","['water, food, and an ecosystem', 'sex, water, and sleep', 'air, water, and socialization', 'air, water, and food']"
"The cultivated forms of wheat, cotton, and tobacco plants are all what?",allopolyploids,"['sporozoans', 'allopolyploids', 'pores', 'bales']"
A hydrogen atom with one neutron is called what?,deuterium,"['magnesium', 'deuterium', 'covalent', 'ionic']"
What compounds form crystals instead of molecules?,ionic compounds,"['magnetic compounds', 'soluble compounds', 'metallic compounds', 'ionic compounds']"
What is the process by which plants make the simple sugar glucose from carbon dioxide and water is called?,photosynthesis,"['glycolysis', 'osmosis', 'metamorphosis', 'photosynthesis']"
"The three units of kpa, atm or mmhg commonly measure what?",pressure,"['weight', 'pressure', 'energy', 'resistance']"
The behavior of ideal gases is explained by what theory of gases?,kinetic molecular theory,"['molecular theory', 'kinetic theory', ""Charles's Law"", 'kinetic molecular theory']"
Besides ingesting and photosynthesis how can protists get their food?,absorption,"['absorption', 'accumulation', 'osmosis', 'digestion']"
"The male gametophyte releases what, which swim - propelled by their flagella - to reach and fertilize the female gamete or egg?",sperm,"['sperm', 'cytoplasm', 'tadpoles', 'dna']"
What causes the wheels of the car to turn?,turning driveshaft,"['Gear Shift', 'Wheel Line', 'once driveshaft', 'turning driveshaft']"
"While the goal of science is to increase knowledge, the goal of what is to use knowledge for practical purposes?",technology,"['technology', 'industry', 'advancement', 'invention']"
What are the two terms that designate how well aqueous solutions conduct electricity?,polar and nonpolar,"['secular and nonpolar', 'filter and nonpolar', 'hot and nonpolar', 'polar and nonpolar']"
The concept that atoms tend to have eight electrons in their valence electron shell is called what?,octet rule,"['octet rule', 'string rule', 'diagonal rule', 'coupling rule']"
What separates one river system's basin from another river system's basin?,a divide,"['a sink', 'a bend', 'a divide', 'a divert']"
What system possesses a memory component that allows for an efficient and dramatic response upon reinvasion of the same pathogen?,adaptive immune system,"['societal immune system', 'suggestive immune system', 'adaptive immune system', 'incorporate immune system']"
Honeybees doing the waggle dance or spiders spinning a web are examples of what type of behavior?,innate,"['innate', 'learned', 'genuine', 'intuitive']"
"What glands remove water, salts and other wastes from skin?",sweat glands,"['sweat glands', 'push glands', 'water glands', 'sex glands']"
A series of arches that support the gills of aquatic amphibians and fish are known as what?,branchial arches,"['aquatic arches', 'cochlear arches', 'scythian arches', 'branchial arches']"
"What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,"['cardiac output', 'blood output', 'liver output', 'respiratory output']"
Birds are thought to have evolved from a group of bipedal dinosaurs called what?,therapods,"['staurikosaurus', 'sporozoans', 'pteradactyls', 'therapods']"
What is the third class of elements after metals and nonmetals?,metalloids,"['metalloids', 'halogens', 'synthetics', 'noble gases']"
"Proteins are categorized according to shape and what property, which correlates with it?",solubility,"['size', 'viscosity', 'salinity', 'solubility']"
Melting ice is drastically impacting the number of what at glacier national park?,active glaciers,"['icebergs', 'gaisers', 'active glaciers', 'trees']"
What element is present in all organic molecules?,carbon,"['sodium', 'hydrogen', 'carbon', 'oxygen']"
A sample of matter that has the same physical and chemical properties throughout itself is known as what?,substance,"['molecule', 'antimatter', 'essence', 'substance']"
Hepatitis b is inflammation of which organ?,the liver,"['the kidney', 'the brain', 'the colon', 'the liver']"
"If a substance has a ph value greater than 7, what does it indicate?",base,"['neutral', 'base', 'volatile', 'acidic']"
The percent yield is determined by calculating the ratio of actual yield by what?,theoretical yield,"['theoretical yield', 'actual loss', 'past balance', 'predicted return']"
What are located along convergent and divergent plate boundaries?,volcanoes,"['mezas', 'megaliths', 'dunes', 'volcanoes']"
What part of the neuron is a large structure with a central nucleus?,cell body,"['Eye body', 'cell body', 'proteins body', 'Environmental']"
Hydrogen-based fuel cells were and are used to provide what for manned space vehicles?,electricity,"['gravity', 'light', 'electricity', 'magnetism']"
What are plants that are adapted to very dry environments called?,xerophytes,"['succulents', 'sporozoans', 'xerophytes', 'pores']"
