example,label
I have withdrawn cash from ATM but i received the wrong amount. I want cash back as in app its showing actual amount which i got. Please help me in this.,wrong_amount_of_cash_received
How man currencies can I hold?,fiat_currency_support
Can I unblock my pin?,pin_blocked
How do i get my salary in the account?,receiving_money
Can my daughter open an account?,age_limit
Can I use app to freeze account and dispute fraud?,compromised_card
What ATMs will accept this type of card?,atm_support
My disposable virtual card will not work,virtual_card_not_working
What is going on? My top-up is still pending. I use your system all the time but now it is just showing as pending.,pending_top_up
I forgot my code to get into the app.,passcode_forgotten
I don't recognize a debit payment that was made and would like to find out about the payment.,direct_debit_payment_not_recognised
I think my phone is either lost or stolen.,lost_or_stolen_phone
How long does a card delivery take?,card_arrival
My transaction to pay for an item was returned to my account.,reverted_card_payment?
"I tried to take out cash but the amount isn't right, so what do I do?",wrong_amount_of_cash_received
Can you help me reset my password?,passcode_forgotten
What currencies do you do exchanges for?,fiat_currency_support
How to change the PIN on my card?,change_pin
What is the need to verify my identity?,why_verify_identity
Why can't I see my topup in my wallet anymore?,topping_up_by_card
Please tell me which cash machines will allow me to change my pin.,change_pin
What all currencies can be exchanged?,exchange_via_app
Approximately how long will an urgent transfer from China take?,transfer_timing
How do I link to my credit card with you?,card_linking
I see some fees for cash withdraw.,cash_withdrawal_charge
my card was not in the mail again can you advise?,card_delivery_estimate
Unknown direct deposit,direct_debit_payment_not_recognised
"Hi. I'm a new customer to your system and I think something isn't working right - or maybe it is. Maybe you can confirm. I tried to top up today (my first time ever) and it's been stuck at ""pending"" for over an hour now. Is it supposed to do this or is there something wrong in the system?",pending_top_up
"
Where can I get my PIN unblocked?",pin_blocked
How can I withdraw money?,atm_support
Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received
I've been unable to pay contactless with my card for over a week now. Is there a way to fix this issue?,contactless_not_working
In exchange for top ups will you take fees?,top_up_by_card_charge
Why does the top-up need verification?,verify_top_up
Why wasn't I able to transfer to another account?,beneficiary_not_allowed
I had a payment that I made and it's been some amount of time and would like to know when it's suppose to go though.,pending_card_payment
How long should my new card take to arrive?,card_arrival
I bought something in a foreign currency but the rate applied is wrong!,card_payment_wrong_exchange_rate
I cannot seem to find my PIN. Where is it?,get_physical_card
I have a cryptocurrency exchange that won't go through. Please help me process it.,beneficiary_not_allowed
"I would like to receive and use the card in Europe, is that possible?",country_support
I just purchased a disposable virtual card. Am I able to use it for online purchases immediately?,get_disposable_virtual_card
"My PIN is blocked, what do I do?",pin_blocked
I need to cancel a purchase I made.,request_refund
How do I transfer money using a credit card?,topping_up_by_card
"Could you please check one of my transfer which i made few hours ago from my UK bank account, as its not showing yet.",balance_not_updated_after_bank_transfer
why do your exchange rates change,exchange_rate
What do you need to verify my identity?,verify_my_identity
How long will it take for my ID to verify?,unable_to_verify_identity
Where do I go to change GBP?,exchange_via_app
The rate of exchange for my card payment is incorrect,card_payment_wrong_exchange_rate
Where can I change my personal information after I move?,edit_personal_details
My funding to my card didn't go through.,top_up_failed
WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card
What options do I have in regards to payment?,supported_cards_and_currencies
What is the current exchange rate for me?,exchange_rate
How do I deal with a stolen card?,lost_or_stolen_card
"When I tried to pay for my bus ride, the contactless payment wouldn't work. How can I prevent this in the future?",contactless_not_working
What should I do if I forgot my passcode?,passcode_forgotten
Am I able to change my PIN at any cash machines?,change_pin
I was looking to buy another card today.,getting_spare_card
How long does it take for a money transfer to show?,pending_transfer
